UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P501;P502L;P503;P504L;P505;SELEC_AUX;FEX_MUJER
18056;38;1;2021;1;10;2;2;2;1; ; ;2;1344
18056;40;1;2021;1;10;2;2;3;1; ; ;3;1555
18069;1;1;2021;6;10;3;1;1;1; ; ;1;532
18069;5;1;2021;6;10;3;1;2;1; ; ;2;537
18069;9;1;2021;6;10;3;1;2;1; ; ;2;509
18069;10;1;2021;6;10;3;1;1;1; ; ;1;509
18069;16;1;2021;6;10;3;1;2;1; ; ;2;523
18069;30;1;2021;6;10;3;1;2;1; ; ;2;523
18140;8;1;2021;1;10;2;2;2;1; ; ;2;920
18140;10;1;2021;1;10;2;1;2;1; ; ;2;437
18140;15;1;2021;1;10;2;2;3;1; ; ;3;1028
18140;19;1;2021;1;10;2;2;1;1; ; ;1;853
18140;31;1;2021;1;10;2;2;3;1; ; ;3;889
18140;34;1;2021;1;10;2;3;2;1; ; ;2;1442
18140;35;1;2021;1;10;2;1;2;1; ; ;2;411
18140;37;1;2021;1;10;2;2;4;1; ; ;4;1028
18140;50;1;2021;1;10;2;1;1;1; ; ;1;444
18221;2;1;2021;6;10;3;1;2;1; ; ;2;475
18221;15;1;2021;6;10;3;1;1;1; ; ;1;549
18221;29;1;2021;6;10;3;2;5;1; ; ;5;1070
18221;35;1;2021;6;10;3;2;6;1; ; ;6;1070
18221;37;1;2021;6;10;3;1;2;1; ; ;2;535
18221;39;1;2021;6;10;3;1;2;1; ; ;2;475
18221;48;1;2021;6;10;3;1;1;1; ; ;1;557
18221;55;1;2021;6;10;3;4;1;1; ; ;1;1435
18221;57;1;2021;6;10;3;1;1;1; ; ;1;520
18308;8;1;2021;6;10;3;3;1;1; ; ;1;1116
18308;9;1;2021;6;10;3;1;2;1; ; ;2;372
18308;18;1;2021;6;10;3;1;2;1; ; ;2;511
18308;26;1;2021;6;10;3;1;2;1; ; ;2;519
18308;29;1;2021;6;10;3;1;1;1; ; ;1;485
18308;32;1;2021;6;10;3;1;1;1; ; ;1;334
18308;34;1;2021;6;10;3;1;1;1; ; ;1;372
18308;35;1;2021;6;10;3;1;1;1; ; ;1;507
18373;2;1;2021;6;10;3;1;2;1; ; ;2;425
18373;6;1;2021;6;10;3;1;2;1; ; ;2;408
18373;10;1;2021;6;10;3;1;1;1; ; ;1;362
18373;29;1;2021;6;10;3;1;1;1; ; ;1;333
18373;33;1;2021;6;10;3;1;2;1; ; ;2;362
18373;34;1;2021;6;10;3;1;2;1; ; ;2;408
18373;36;1;2021;6;10;3;2;2;1; ; ;2;807
18373;37;1;2021;6;10;3;3;1;1; ; ;1;1190
18373;39;1;2021;6;10;3;1;2;1; ; ;2;362
18497;3;1;2021;1;10;2;1;1;1; ; ;1;1048
18497;6;1;2021;1;10;2;1;1;1; ; ;1;1121
18497;7;1;2021;1;10;2;1;2;1; ; ;2;1048
18497;16;1;2021;1;10;2;1;1;1; ; ;1;1015
18497;25;1;2021;1;10;2;2;4;1; ; ;4;1938
18556;4;1;2021;6;10;3;1;2;1; ; ;2;798
18556;9;1;2021;6;10;3;1;2;1; ; ;2;780
18556;27;1;2021;6;10;3;1;2;1; ; ;2;758
18556;71;1;2021;6;10;3;1;1;1; ; ;1;780
18556;76;1;2021;6;10;3;2;5;1; ; ;5;1533
18556;79;1;2021;6;10;3;1;2;1; ; ;2;681
18556;102;1;2021;6;10;3;1;1;1; ; ;1;767
18556;105;1;2021;6;10;3;1;2;1; ; ;2;681
18556;106;1;2021;6;10;3;2;1;1; ; ;1;1560
18588;42;1;2021;1;10;2;2;5;1; ; ;5;10282
18588;44;1;2021;1;10;2;1;1;1; ; ;1;4108
18588;74;1;2021;1;10;2;1;2;1; ; ;2;4267
18588;89;1;2021;1;10;2;1;2;1; ; ;2;5141
