UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
327;54;1;2021;1;0;1;2;13;17;1; ; ;1;3;3;18;3;3;3;1;2;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;673
327;68;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;15;1;14;6; ;2;15;2;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
327;70;1;2021;1;0;1;1;20;15;1; ; ;2;3;5;13;4;5;3;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;575
327;83;1;2021;1;0;1;1;35;26;1; ; ;4;1;4;24;2;3;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;477
327;89;1;2021;1;0;1;2;7;21;2;15;4;4;1;3;18;3;1;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
327;95;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;1;18;1;18;1;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;622
327;100;1;2021;1;0;1;2;22;22;1; ; ;4;3;3;26;1;2;3;3;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;644
486;15;1;2021;1;0;1;1;36;35;1; ; ;4;2;2;36;1;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1611
486;22;1;2021;1;0;1;1;28;24;1; ; ;4;3;1;26;1;1;3;1;2;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4305
486;27;1;2021;1;0;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;17;4;1; ;2;22;2;2;3;3;3;3;5764
